timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
3.2,0,0,0,0,0,0,0,0,0,0,0,0.199,0.093,-0.098,2.21,1.07,0,0.92,0,1.28,0,0,0.23,0.15,0.06,0.12,0,0,1.02,2.04,0
3.24,0,0,0,0,0,0,0,0,0,0,0,0.202,0.109,-0.094,2.32,1.11,0,1.09,0,1.31,0,0,0.26,0.03,0.16,0.18,0,0,0.77,1.84,0
3.28,0,0,0,0,0,0,0,0,0,0,0,0.205,0.111,-0.095,2.37,1.23,0,1.19,0,1.2,0,0,0.3,0,0.16,0.17,0,0,0.66,1.61,0
3.32,0,0,0,0,0,0,0,0,0,0,0,0.213,0.116,-0.091,2.4,1.25,0,1.1,0,1.2,0,0,0.32,0,0.09,0.08,0,0,0.62,1.49,0
3.36,0,0,0,0,0,0,0,0,0,0,0,0.218,0.117,-0.09,2.38,1.29,0,0.85,0,1.2,0,0,0.38,0,0,0.16,0,0,0.44,1.5,0
3.4,0,0,0,0,0,0,0,0,0,0,0,0.213,0.104,-0.083,2.43,1.28,0,0.75,0,1.3,0,0,0.44,0,0,0.3,0,0,0.31,1.58,0
3.44,0,0,0,0,0,0,0,0,0,0,0,0.21,0.089,-0.082,2.39,1.09,0,0.72,0,1.41,0,0,0.48,0.03,0,0.46,0,0,0.32,1.87,0
3.48,0,0,0,0,0,0,0,0,0,0,0,0.203,0.069,-0.077,2.41,0.98,0,0.95,0,1.49,0,0,0.49,0.05,0,0.46,0,0,0.44,2.11,0
3.52,0,0,0,0,0,0,0,0,0,0,0,0.209,0.072,-0.077,2.44,0.97,0,1.14,0,1.52,0,0,0.46,0.05,0,0.4,0,0,0.39,2.23,0
3.56,0,0,0,0,0,0,0,0,0,0,0,0.188,0.055,-0.072,2.55,1.07,0,1.24,0,1.39,0,0,0.39,0.02,0,0.31,0,0,0.22,2.06,0
3.6,0,0,0,0,0,0,0,0,0,0,0,0.154,0.052,-0.074,2.75,1.14,0,1.4,0,1.26,0,0,0.37,0,0,0.15,0,0,0.1,1.91,0
3.64,0,0,0,0,0,0,0,0,0,0,0,0.143,0.037,-0.07,2.9,1.22,0,1.43,0,1.21,0,0,0.39,0,0,0.07,0,0,0.12,1.92,0
3.68,0,0,0,0,0,0,0,0,0,0,0,0.126,0.03,-0.07,3.03,1.39,0,1.61,0,1.15,0,0,0.51,0.01,0,0,0,0,0.57,2.28,0
3.72,0,0,0,0,0,0,0,0,0,0,0,0.131,0.037,-0.075,3.07,1.54,0,1.59,0,1.07,0,0,0.57,0.01,0,0,0,0,0.97,2.62,0
3.76,0,0,0,0,0,0,0,0,0,0,0,0.136,0.04,-0.077,3.12,1.63,0,1.61,0,0.98,0,0,0.63,0.02,0,0,0,0,1.48,2.67,0
3.8,0,0,0,0,0,0,0,0,0,0,0,0.144,0.037,-0.074,3.06,1.64,0,1.48,0,0.87,0,0.04,0.63,0,0,0,0,0,1.55,2.25,0
3.84,0,0,0,0,0,0,0,0,0,0,0,0.136,0.045,-0.07,2.92,1.55,0,1.38,0,0.83,0,0.06,0.62,0,0,0,0,0,1.68,1.97,0
3.88,0,0,0,0,0,0,0,0,0,0,0,0.142,0.047,-0.067,2.77,1.44,0,1.31,0,0.61,0,0.06,0.63,0,0,0,0,0,1.64,1.8,0
3.92,0,0,0,0,0,0,0,0,0,0,0,0.146,0.035,-0.064,2.81,1.47,0,1.26,0,0.56,0,0.02,0.64,0,0,0,0,0,1.52,1.73,0
3.96,0,0,0,0,0,0,0,0,0,0,0,0.139,0.015,-0.063,2.94,1.62,0,1.26,0,0.46,0,0,0.67,0,0,0,0,0,1.37,1.44,0
4,0,0,0,0,0,0,0,0,0,0,0,0.136,0.02,-0.066,3.05,1.75,0,1.31,0,0.57,0,0,0.72,0,0,0,0,0,1.03,1.23,0
4.04,0,0,0,0,0,0,0,0,0,0,0,0.148,-0.011,-0.065,3.13,1.77,0,1.39,0,0.64,0,0,0.83,0,0,0,0,0,0.89,1.06,0
4.08,0,0,0,0,0,0,0,0,0,0,0,0.167,-0.032,-0.066,3.15,1.73,0,1.23,0,0.87,0,0,0.94,0,0,0,0,0,0.6,0.81,0
4.12,0,0,0,0,0,0,0,0,0,0,0,0.172,-0.047,-0.07,3.15,1.63,0,1.01,0,1.07,0,0,1.11,0,0.16,0.3,0,0,0.48,0.64,0
4.16,0,0,0,0,0,0,0,0,0,0,0,0.185,-0.071,-0.075,2.96,1.42,0,0.73,0,1.19,0,0,1.23,0,0.16,0.56,0,0,0.21,0.37,0
4.2,0,0,0,0,0,0,0,0,0,0,0,0.198,-0.1,-0.081,2.89,1.35,0,0.66,0,1.08,0.01,0,1.26,0,0.16,0.64,0,0,0.07,0.21,0
4.24,0,0,0,0,0,0,0,0,0,0,0,0.19,-0.081,-0.106,2.83,1.3,0,0.64,0,0.98,0.01,0.02,1.21,0,0.02,0.47,0,0,0.07,0.01,0
4.28,0,0,0,0,0,0,0,0,0,0,0,0.199,-0.092,-0.113,2.93,1.3,0,0.43,0,1.23,0.05,0.14,1.24,0,0.02,0.38,0,0,0.21,0.07,0.1
4.32,0,0,0,0,0,0,0,0,0,0,0,0.211,-0.098,-0.112,2.97,1.22,0,0.36,0,1.24,0.04,0.38,1.36,0,0.06,0.56,0,0,0.37,0.14,1.02
4.36,0,0,0,0,0,0,0,0,0,0,0,0.208,-0.084,-0.116,2.83,0.94,0,0.12,0,1.66,0.09,0.74,1.46,0,0.09,0.7,0,0,0.36,0.22,1.51
4.4,0,0,0,0,0,0,0,0,0,0,0,0.225,-0.071,-0.124,2.6,0.55,0,0.12,0,1.75,0.05,0.9,1.5,0.04,0.09,0.84,0,0,0.22,0.33,1.44
4.44,0,0,0,0,0,0,0,0,0,0,0,0.242,-0.067,-0.129,2.35,0.19,0,0,0,2.16,0.06,0.87,1.5,0.04,0.11,0.76,0,0,0.06,0.37,0.57
4.48,0,0,0,0,0,0,0,0,0,0,0,0.244,-0.055,-0.137,2.31,0.18,0,0,0,1.99,0.01,0.77,1.47,0.08,0.06,0.6,0,0,0.04,0.62,0.08
4.52,0,0,0,0,0,0,0,0,0,0,0,0.252,-0.049,-0.142,2.31,0.33,0,0.16,0.01,2.1,0.01,0.75,1.54,0.19,0.06,0.3,0,0,0.2,1.08,0.05
4.56,0,0,0,0,0,0,0,0,0,0,0,0.274,-0.022,-0.139,2.32,0.5,0,0.25,0.08,2.11,0,0.81,1.59,0.35,0,0.12,0,0,0.35,1.84,0
4.6,0,0,0,0,0,0,0,0,0,0,0,0.292,0,-0.137,2.29,0.64,0,0.37,0.08,2.2,0,0.77,1.63,0.36,0,0,0,0,0.41,2.27,0
