Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
HeadDownN-HeadNodLN-null,3,Dom,Lstn,-0.34608333333333335,3,16,0.01775147928994083,0.1875,1.377717391304348,1.0632680928538916
HeadNodLN-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,2,9,0.011834319526627219,0.2222222222222222,1.6328502415458936,1.110735418427726
HeadDownN-EyebrowUpN-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
HeadDownN-SmileN-null,3,Dom,Lstn,-0.34608333333333335,2,8,0.011834319526627219,0.25,1.8369565217391304,1.1518737672583825
SmileN-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,5,16,0.029585798816568046,0.3125,2.296195652173913,1.2565895642818719
SmileL-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
HeadDownN-GestObjectManipulation-null,3,Dom,Lstn,-0.34608333333333335,4,15,0.023668639053254437,0.26666666666666666,1.9594202898550723,1.178052716514255
HeadDownN-GestAdaptorArms-null,3,Dom,Lstn,-0.34608333333333335,2,9,0.011834319526627219,0.2222222222222222,1.6328502415458936,1.110735418427726
GestAdaptorArms-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
RestArmsCrossed-HeadDownN-null,3,Dom,Lstn,-0.34608333333333335,2,7,0.011834319526627219,0.2857142857142857,2.0993788819875774,1.2094674556213016
HeadDownL-HeadDownH-null,3,Dom,Lstn,-0.34608333333333335,3,6,0.01775147928994083,0.5,3.6739130434782608,1.727810650887574
HeadNodNN-HeadDownH-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
HeadDownH-BodyLeanH-null,3,Dom,Lstn,-0.34608333333333335,2,2,0.011834319526627219,1.0,7.3478260869565215,Infinity
SmileN-HeadDownH-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
GestObjectManipulation-HeadDownH-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
HeadDownL-HeadUpL-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
HeadDownL-HeadNodNN-null,3,Dom,Lstn,-0.34608333333333335,2,10,0.011834319526627219,0.2,1.4695652173913045,1.0798816568047336
HeadNodNN-HeadDownL-null,3,Dom,Lstn,-0.34608333333333335,3,14,0.01775147928994083,0.21428571428571427,1.5745341614906831,1.099515868746638
HeadNodLN-HeadDownL-null,3,Dom,Lstn,-0.34608333333333335,2,9,0.011834319526627219,0.2222222222222222,1.6328502415458936,1.110735418427726
HeadDownL-BodyLeanH-null,3,Dom,Lstn,-0.34608333333333335,2,2,0.011834319526627219,1.0,7.3478260869565215,Infinity
HeadDownL-SmileN-null,3,Dom,Lstn,-0.34608333333333335,3,6,0.01775147928994083,0.5,3.6739130434782608,1.727810650887574
SmileN-HeadDownL-null,3,Dom,Lstn,-0.34608333333333335,2,6,0.011834319526627219,0.3333333333333333,2.4492753623188404,1.2958579881656802
SmileL-HeadDownL-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
