Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
HeadAt-HeadAt-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,5,25,0.02304147465437788,0.2,1.8083333333333333,1.1117511520737327
HeadAt-HeadAt-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,18,0.018433179723502304,0.2222222222222222,2.009259259259259,1.1435154707044108
HeadAt-HeadDownN-HeadAt-null,3,Dom,Spk,-0.34608333333333335,6,39,0.027649769585253458,0.15384615384615385,1.391025641025641,1.0511101801424383
HeadAt-HeadDownN-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,20,0.018433179723502304,0.2,1.8083333333333333,1.1117511520737327
HeadAt-HeadDownN-HeadUpL-null,3,Dom,Spk,-0.34608333333333335,4,17,0.018433179723502304,0.23529411764705882,2.127450980392157,1.163062743707905
HeadAt-HeadDownN-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,5,19,0.02304147465437788,0.2631578947368421,2.3793859649122804,1.2070441079657668
HeadAt-HeadDownN-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,14,0.018433179723502304,0.2857142857142857,2.583333333333333,1.2451612903225806
HeadDownN-HeadAt-HeadAt-null,3,Dom,Spk,-0.34608333333333335,5,29,0.02304147465437788,0.1724137931034483,1.5589080459770115,1.0746927803379416
HeadDownN-HeadAt-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,5,31,0.02304147465437788,0.16129032258064516,1.4583333333333333,1.0604395604395604
HeadDownN-HeadAt-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,6,27,0.027649769585253458,0.2222222222222222,2.009259259259259,1.1435154707044108
HeadAt-HeadDownL-HeadAt-null,3,Dom,Spk,-0.34608333333333335,4,30,0.018433179723502304,0.13333333333333333,1.2055555555555555,1.0262318326834456
HeadAt-HeadUpL-HeadAt-null,3,Dom,Spk,-0.34608333333333335,4,13,0.018433179723502304,0.3076923076923077,2.782051282051282,1.2846902201740913
HeadAt-HeadUpL-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,14,0.018433179723502304,0.2857142857142857,2.583333333333333,1.2451612903225806
HeadAt-HeadUpL-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,12,0.018433179723502304,0.3333333333333333,3.0138888888888884,1.334101382488479
HeadAt-HeadUpL-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,10,0.018433179723502304,0.4,3.6166666666666667,1.4823348694316438
HeadUpL-HeadAt-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,15,0.018433179723502304,0.26666666666666666,2.411111111111111,1.2128194386258901
HeadAt-HeadNodLN-HeadAt-null,3,Dom,Spk,-0.34608333333333335,5,16,0.02304147465437788,0.3125,2.825520833333333,1.2936740678676164
HeadAt-HeadNodLN-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,12,0.018433179723502304,0.3333333333333333,3.0138888888888884,1.334101382488479
HeadAt-HeadNodLN-HeadDownL-null,3,Dom,Spk,-0.34608333333333335,4,11,0.018433179723502304,0.36363636363636365,3.2878787878787876,1.3976300197498355
HeadAt-HeadNodLN-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,14,0.018433179723502304,0.2857142857142857,2.583333333333333,1.2451612903225806
HeadNodLN-HeadAt-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,10,0.018433179723502304,0.4,3.6166666666666667,1.4823348694316438
HeadAt-EyebrowUpN-HeadAt-null,3,Dom,Spk,-0.34608333333333335,5,31,0.02304147465437788,0.16129032258064516,1.4583333333333333,1.0604395604395604
HeadAt-EyebrowUpN-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,22,0.018433179723502304,0.18181818181818182,1.6439393939393938,1.0870455709165388
HeadAt-EyebrowUpN-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,18,0.018433179723502304,0.2222222222222222,2.009259259259259,1.1435154707044108
HeadAt-EyebrowUpN-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,15,0.018433179723502304,0.26666666666666666,2.411111111111111,1.2128194386258901
EyebrowUpN-HeadAt-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,24,0.018433179723502304,0.16666666666666666,1.5069444444444442,1.0672811059907834
HeadAt-RestHandsTogether-HeadAt-null,3,Dom,Spk,-0.34608333333333335,4,15,0.018433179723502304,0.26666666666666666,2.411111111111111,1.2128194386258901
HeadAt-RestHandsTogether-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,11,0.018433179723502304,0.36363636363636365,3.2878787878787876,1.3976300197498355
HeadAt-RestHandsTogether-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,10,0.018433179723502304,0.4,3.6166666666666667,1.4823348694316438
RestHandsTogether-HeadAt-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,9,0.018433179723502304,0.4444444444444444,4.018518518518518,1.600921658986175
RestHandsTogether-HeadAt-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,15,0.018433179723502304,0.26666666666666666,2.411111111111111,1.2128194386258901
HeadDownN-HeadDownN-HeadAt-null,3,Dom,Spk,-0.34608333333333335,5,27,0.02304147465437788,0.18518518518518517,1.6743827160493825,1.0915374947633012
HeadDownN-HeadDownN-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,18,0.018433179723502304,0.2222222222222222,2.009259259259259,1.1435154707044108
HeadDownN-HeadDownN-EyebrowUpN-null,3,Dom,Spk,-0.34608333333333335,4,13,0.018433179723502304,0.3076923076923077,2.782051282051282,1.2846902201740913
HeadDownN-HeadDownN-RestHandsTogether-null,3,Dom,Spk,-0.34608333333333335,4,14,0.018433179723502304,0.2857142857142857,2.583333333333333,1.2451612903225806
HeadDownN-HeadDownL-HeadAt-null,3,Dom,Spk,-0.34608333333333335,4,23,0.018433179723502304,0.17391304347826086,1.572463768115942,1.076643220955615
HeadDownN-HeadUpL-HeadAt-null,3,Dom,Spk,-0.34608333333333335,4,16,0.018433179723502304,0.25,2.2604166666666665,1.185867895545315
HeadDownN-HeadUpL-HeadDownN-null,3,Dom,Spk,-0.34608333333333335,4,18,0.018433179723502304,0.2222222222222222,2.009259259259259,1.1435154707044108
