% 1. Title: Touch Sequences Database
   %
   % 2. Sources:
   %      (a) Creators: F. Boucaud, M. Grimaldi
   %      (b) Donor:
   %      (c) Date: July, 2022
   %
   @RELATION touchsequences
   @ATTRIBUTE totalduration  NUMERIC
   @ATTRIBUTE initialimpactvelocity   NUMERIC
   @ATTRIBUTE meanforce  NUMERIC
   @ATTRIBUTE meanvelocity   NUMERIC
   @ATTRIBUTE tactilecells   string
   @ATTRIBUTE handparts   string
   @ATTRIBUTE class        {Hit,Caress,Tap,Maintained}
   @DATA
0.04564285, 14.97923, 0, 0,'RightArm,Spine1,LeftArm,Spine3,Spine,LeftForeArm,Spine4,Spine3,RightForeArm','R_ring_c,R_ring_b,R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_pinky_end,R_middle_c,R_index_c,R_ring_c,R_index_b,R_middle_end,R_ring_end,R_index_a,R_index_end,R_thumb_end,R_thumb_b,R_thumb_a,R_ring_a',Caress
6.920217, 1.451292, 0.6601399, 0.7473104,'RightArm,Spine1,RightAr,Spine4,Spine3,RightForeArm,RightArm','L_index_c,L_index_b,L_index_a,L_middle_c,L_middle_b,L_index_meta,L_middle_a,L_Wrist,L_pinky_end,L_thumb_a,L_middle_end,L_thumb_b,L_ring_b,L_ring_c,L_Palm,L_ring_a,L_pinky_c,L_pinky_a,L_pinky_b,L_index_end,L_pinky_meta,L_thumb_meta,L_ring_meta,L_index_end,L_ring_end,L_middle_meta,L_thumb_end',Caress
0.08060837, 17.91926, 0, 0,'RightArm,Spine1,LeftArm,HeadCollider,Spine,HeadCollider,LeftForeArm,LeftHand,Spine4,Spine3,RightForeArm,RightHand','R_pinky_a,R_pinky_b,R_pinky_c,R_middle_a,R_ring_meta,R_middle_b,R_pinky_end,R_middle_c,R_pinky_meta,R_index_meta,R_middle_meta,R_index_c,R_index_b,R_index_a,R_thumb_end,R_ring_a,R_ring_c,R_ring_b,R_Wrist,R_thumb_meta,R_Palm,R_middle_end,R_middle_end,R_ring_end,R_index_end,R_thumb_b,R_thumb_a',Caress
0.5700011, 0, 0.9035012, 10.03894,'RightArm,LeftArm,Spine1,Spine3,HeadCollider,RightAr,Spine4,Spine3,RightForeArm','L_pinky_c,L_middle_c,L_middle_b,L_pinky_a,L_middle_a,L_pinky_b,L_Wrist,L_pinky_meta,L_pinky_end,L_ring_meta,L_ring_end,L_middle_meta,L_middle_end,L_ring_b,L_ring_c,L_Palm,L_ring_a',Caress
0.00888586, 15.88716, 0, 0,'RightArm,Spine1,LeftArm,Spine,HeadCollider,Spine3','R_ring_c,R_ring_b,R_pinky_c,R_middle_b,R_pinky_end,R_middle_c,R_index_c,R_index_b,R_middle_end,R_middle_end,R_ring_end,R_index_a,R_index_end,R_thumb_b,R_thumb_end',Caress
0.007253647, 9.172799, 1.048436, 12.33623,'RightArm,Spine1,LeftArm,HeadCollider,Spine,LeftForeArm,LeftHand,Spine4,Spine3,RightForeArm,RightArm,RightHand','L_index_b,L_index_a,L_pinky_c,L_middle_b,L_pinky_a,L_index_meta,L_pinky_b,L_middle_a,L_Wrist,L_pinky_meta,L_thumb_meta,L_ring_meta,L_middle_b,L_thumb_a,L_middle_meta,L_thumb_b,L_ring_b,L_thumb_end,L_Palm,L_ring_a',Caress
0.002634048, 11.89604, 0, 0,'RightArm,LeftArm,Spine1,Spine3,HeadCollider,Spine,LeftForeArm,Spine4,RightForeArm,Spine3','R_ring_c,R_ring_b,R_pinky_b,R_pinky_c,R_middle_b,R_middle_c,R_pinky_end,R_index_c,R_index_b,R_middle_end,R_middle_end,R_ring_end,R_index_a,R_thumb_end,R_index_end',Caress
0.002613068, 4.320908, 0, 0,'RightArm,LeftArm,Spine1,Spine,LeftForeArm,Spine1,Spine4,Spine3','R_ring_c,R_ring_b,R_middle_end,R_pinky_a,R_pinky_b,R_pinky_a,R_ring_end,R_pinky_c,R_middle_b,R_middle_c,R_pinky_end,R_ring_a',Caress
1.643173, 4.988825, 0, 0,'RightArm,Spine1,LeftArm,HeadCollider,Spine,LeftForeArm,Spine4,Spine3,LeftArm','R_ring_c,R_ring_b,R_middle_end,R_pinky_a,R_pinky_b,R_pinky_end,R_pinky_c,R_ring_end,R_middle_b,R_pinky_end,R_middle_c,R_ring_a',Caress
2.438624, 0, 0, 0,'RightArm,Spine1,Spine3,Spine,Spine4,Spine3,RightForeArm,RightHand','L_index_c,L_index_b,L_index_a,L_pinky_c,L_middle_c,L_middle_b,L_pinky_a,L_middle_a,L_pinky_b,L_index_end,L_pinky_meta,L_pinky_end,L_ring_meta,L_ring_end,L_middle_end,L_middle_end,L_ring_b,L_ring_c,L_ring_a',Caress
0.006929398, 9.114908, 0, 0,'RightArm,Spine1,LeftArm,Spine,LeftForeArm,Spine1,Spine3,RightForeArm','R_ring_c,R_ring_b,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_middle_c,R_pinky_end,R_index_c,R_index_b,R_middle_a,R_middle_end,R_index_a,R_ring_end,R_index_end,R_thumb_b,R_thumb_end,R_ring_a',Caress
0.01088834, 11.71098, 0, 0,'RightArm,Spine1,LeftArm,Spine3,HeadCollider,Spine,Spine4,Spine3,RightForeArm','R_ring_c,R_ring_b,R_pinky_b,R_pinky_c,R_middle_a,R_middle_b,R_pinky_end,R_middle_c,R_index_c,R_index_b,R_middle_end,R_ring_end,R_index_a,R_pinky_b,R_index_end,R_thumb_end,R_thumb_b,R_ring_a',Hit
0.6889637, 0, 0, 0,'RightArm,Spine1,Spine3,Spine,Spine4,Spine3,RightForeArm,RightHand','L_index_c,L_pinky_c,L_middle_c,L_pinky_a,L_middle_b,L_pinky_b,L_index_end,L_pinky_end,L_ring_end,L_middle_end,L_middle_end,L_ring_b,L_ring_c,L_ring_a',Hit
0.0007686615, 2.26284, 0, 0,'Spine3,Spine,Spine4,Spine3','R_ring_c,R_ring_b,R_index_c,R_index_b,R_middle_b,R_pinky_b,R_pinky_c,R_thumb_end,R_thumb_b,R_middle_b,R_middle_c',Hit
5.083844, 3.127193, 0, 0,'RightArm,Spine1,LeftArm,Spine3,HeadCollider,Spine,Spine4,Spine3,RightForeArm','R_ring_c,R_ring_b,R_index_c,R_pinky_b,R_pinky_c,R_middle_b,R_middle_c,R_pinky_end,R_index_c,R_index_b,R_middle_end,R_index_a,R_ring_end,R_index_end',Hit
